[?1034h+-------------+--------------+--------------+-----------------------+------------------+-----+
| c_last_name | c_first_name | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt |
+-------------+--------------+--------------+-----------------------+------------------+-----+
|             |              |              | Y                     | 16278            | 15  |
|             |              |              | N                     | 55640            | 15  |
|             |              |              | N                     | 220211           | 15  |
|             | David        |              | Y                     | 123691           | 16  |
|             | Judy         | Dr.          |                       | 234350           | 16  |
|             | Milagros     |              |                       | 165730           | 15  |
|             | Roy          |              |                       | 200033           | 15  |
|             | Thomas       |              |                       | 182717           | 15  |
| Acuna       | Ronald       | Dr.          | N                     | 119381           | 15  |
| Adams       | Jerry        | Sir          | N                     | 216653           | 15  |
| Anderson    | Martha       | Mrs.         | N                     | 74295            | 15  |
| Anderson    | Rosemarie    | Mrs.         | N                     | 178489           | 15  |
| Arredondo   | Phyllis      | Ms.          | Y                     | 226220           | 16  |
| Ashton      | Irma         | Mrs.         | Y                     | 99233            | 15  |
| Baker       | Erik         | Sir          | Y                     | 69511            | 15  |
| Barnes      | Michael      | Mr.          | N                     | 168802           | 15  |
| Beck        | Bradley      | Mr.          | Y                     | 230277           | 16  |
| Bell        | William      | Mr.          | Y                     | 82227            | 15  |
| Bergstrom   | Jeanie       | Mrs.         | N                     | 76869            | 15  |
| Berry       | Hattie       | Miss         | Y                     | 237625           | 15  |
| Bilodeau    | Norma        | Ms.          | Y                     | 136244           | 15  |
| Blake       | John         | Mr.          | N                     | 193896           | 15  |
| Blount      | Frederick    | Dr.          | Y                     | 225795           | 16  |
| Boles       | George       | Sir          | N                     | 64282            | 15  |
| Bolin       | Yolanda      | Dr.          | N                     | 13057            | 16  |
| Bolton      | Joseph       | Dr.          | Y                     | 113894           | 15  |
| Boudreaux   | Melvin       | Mr.          | N                     | 20716            | 15  |
| Boyer       | Betty        | Mrs.         | Y                     | 171238           | 16  |
| Bradley     | Carrie       | Mrs.         | Y                     | 91655            | 15  |
| Brower      | Donald       | Dr.          | N                     | 163579           | 15  |
| Brown       | Frederick    | Mr.          | N                     | 120037           | 15  |
| Brown       | Janette      | Dr.          | Y                     | 7269             | 16  |
| Brown       | Raymond      | Mr.          | Y                     | 212279           | 15  |
| Brown       | Roderick     | Mr.          | N                     | 221290           | 16  |
| Burrell     | John         | Sir          | N                     | 216867           | 16  |
| Butler      | Amos         | Dr.          | N                     | 7184             | 15  |
| Butler      | Nicole       | Dr.          | N                     | 214214           | 16  |
| Campbell    | Gordon       | Mr.          | N                     | 196090           | 15  |
| Carlson     | Gwendolyn    | Dr.          | Y                     | 88472            | 15  |
| Carpenter   | Arthur       | Ms.          | N                     | 87139            | 15  |
| Chang       | Bradley      | Sir          | Y                     | 53396            | 15  |
| Chen        | Brett        | Mr.          | N                     | 7880             | 15  |
| Clark       | Meredith     | Dr.          | N                     | 229216           | 16  |
| Clemente    | Patrick      | Sir          | Y                     | 179702           | 15  |
| Clements    | Alexandra    | Ms.          | N                     | 62560            | 15  |
| Clifford    | John         | Sir          | Y                     | 12960            | 15  |
| Cochran     | Dennis       | Sir          | Y                     | 94375            | 15  |
| Coleman     | Nancy        | Ms.          | N                     | 39446            | 16  |
| Collins     | Patsy        | Ms.          | N                     | 13775            | 15  |
| Cope        | Felicia      | Dr.          | Y                     | 195003           | 15  |
| Crocker     | Patrick      | Sir          | N                     | 187617           | 16  |
| Crockett    | John         | Dr.          | N                     | 200817           | 16  |
| David       | Timothy      | Mr.          | Y                     | 20342            | 16  |
| Diaz        | Brian        | Mr.          | N                     | 73210            | 15  |
| Driggers    | Richard      | Dr.          | N                     | 111693           | 15  |
| Dunn        | Stephen      | Sir          | N                     | 32455            | 15  |
| Easton      | Christopher  | Sir          | Y                     | 10691            | 15  |
| Elliot      | Mark         | Mr.          | Y                     | 35782            | 16  |
| Esquivel    | Hee          | Mrs.         | Y                     | 42741            | 15  |
| Farnsworth  | Danny        | Mr.          | Y                     | 29979            | 15  |
| Ferris      | William      | Sir          | Y                     | 12536            | 15  |
| Finn        | Margaret     | Dr.          | N                     | 207070           | 15  |
| Forney      | Christopher  | Sir          | N                     | 175230           | 15  |
| Forsyth     | Edward       | Mr.          | N                     | 206284           | 15  |
| Freeman     |              | Mrs.         | Y                     | 175123           | 15  |
| German      | Katie        | Dr.          | N                     | 33536            | 16  |
| Gil         | Yvette       | Mrs.         | Y                     | 86699            | 15  |
| Gillum      | Luella       | Ms.          | Y                     | 235550           | 15  |
| Gonzalez    | Junie        | Ms.          | Y                     | 149298           | 15  |
| Gonzalez    | Ruby         | Mrs.         | Y                     | 228694           | 15  |
| Gordon      | Larry        | Sir          | Y                     | 99782            | 15  |
| Grayson     | Carolyn      | Mrs.         | N                     | 69374            | 16  |
| Hall        | Roger        | Mr.          | N                     | 136216           | 15  |
| Hardy       | Inez         | Ms.          | Y                     | 104878           | 15  |
| Harper      | Ruth         | Ms.          | N                     | 109265           | 15  |
| Harrison    | Jennifer     | Ms.          | Y                     | 63097            | 15  |
| Hawkins     | Clyde        | Dr.          | Y                     | 236510           | 15  |
| Hayes       | Johnnie      | Sir          | N                     | 57732            | 15  |
| Heilman     | Garret       | Mr.          | Y                     | 73719            | 16  |
| Hernandez   | Paul         | Dr.          | N                     | 190691           | 15  |
| Hernandez   | Sandra       | Dr.          | Y                     | 14252            | 16  |
| Hewitt      | Michelle     | Dr.          | N                     | 155492           | 15  |
| Horton      | Michelle     | Ms.          | Y                     | 112716           | 16  |
| Huffman     | Beverly      | Ms.          | Y                     | 166660           | 16  |
| Hughes      | Martin       | Dr.          | Y                     | 178631           | 15  |
| Jackman     | Ida          | Dr.          | Y                     | 11753            | 15  |
| Jackson     | Melissa      | Mrs.         | Y                     | 18023            | 15  |
| James       | Joanne       | Dr.          | N                     | 123052           | 15  |
| Johnson     | Marvin       | Sir          | N                     | 78926            | 16  |
| Johnson     | Olen         | Mr.          | N                     | 12862            | 15  |
| Johnson     | Richard      | Dr.          | N                     | 52256            | 15  |
| Jones       | Eleanor      | Ms.          | N                     | 27477            | 16  |
| Jones       | Rebecca      | Dr.          | Y                     | 187035           | 16  |
| Justice     | Marlys       | Miss         | N                     | 226375           | 15  |
| Kelley      | Maggie       | Dr.          | N                     | 169450           | 16  |
| Kelly       | Betty        | Dr.          | Y                     | 151468           | 16  |
| Kline       | Donald       | Mr.          | Y                     | 161957           | 15  |
